heuristic,total penalty,conflict penalty,gap penalty,capacity penalty,evening penalty,runtime
shuffle,474,356,78,20,20,367.0283305644989
shuffle,492,397,72,13,10,392.00847721099854
shuffle,384,289,73,2,20,355.79207825660706
shuffle,418,332,65,1,20,371.34667778015137
shuffle,441,307,55,54,25,386.1510446071625
shuffle,524,360,118,26,20,414.2159118652344
shuffle,407,341,50,1,15,390.37739419937134
shuffle,473,346,77,25,25,367.70158863067627
shuffle,458,360,65,13,20,369.1888909339905
shuffle,444,368,42,19,15,354.72184133529663
shuffle,453,356,37,40,20,367.69228768348694
shuffle,463,341,76,26,20,381.31784415245056
shuffle,447,330,87,10,20,353.69220638275146
shuffle,393,312,41,20,20,380.0254874229431
shuffle,441,344,72,10,15,390.9161801338196
shuffle,489,377,91,1,20,381.98655819892883
shuffle,518,426,76,6,10,385.63643860816956
shuffle,495,342,89,44,20,352.8490025997162
shuffle,431,339,56,16,20,369.32022523880005
shuffle,444,334,51,39,20,378.82394099235535
shuffle,390,319,41,10,20,375.6140761375427
shuffle,449,374,28,27,20,397.6638596057892
shuffle,503,365,87,31,20,354.8747465610504
shuffle,438,340,51,27,20,371.3368661403656
shuffle,469,375,63,6,25,378.85083198547363
shuffle,481,353,94,14,20,393.53357100486755
shuffle,450,326,83,16,25,380.6916968822479
shuffle,442,364,34,24,20,382.2330684661865
shuffle,408,342,45,1,20,372.6063961982727
shuffle,430,353,54,3,20,379.5446193218231
shuffle,485,363,102,5,15,385.3994970321655
shuffle,364,314,35,0,15,371.32379484176636
shuffle,448,346,61,21,20,377.9504294395447
shuffle,499,380,89,5,25,390.2427616119385
shuffle,396,325,46,10,15,406.33765745162964
shuffle,464,405,26,18,15,419.76120471954346
shuffle,459,322,78,39,20,388.1196174621582
shuffle,414,336,44,14,20,369.0760169029236
shuffle,383,294,58,11,20,375.7190365791321
shuffle,474,353,70,41,10,393.87181329727173
shuffle,471,336,102,18,15,389.942848443985
shuffle,420,337,32,31,20,382.20635414123535
shuffle,441,338,54,24,25,363.1005096435547
shuffle,448,356,49,18,25,375.0718913078308
shuffle,396,268,103,0,25,352.5895142555237
shuffle,430,352,58,0,20,383.6390664577484
shuffle,468,367,66,20,15,344.4679663181305
shuffle,498,379,97,2,20,398.9798774719238
shuffle,447,362,54,16,15,390.98167967796326
shuffle,413,321,55,12,25,373.8301079273224
shuffle,413,344,51,3,15,383.54169249534607
shuffle,471,361,54,31,25,377.09306716918945
shuffle,409,333,45,16,15,343.7612600326538
shuffle,426,327,58,26,15,364.47115898132324
shuffle,441,349,55,17,20,394.18116569519043
shuffle,433,322,61,30,20,379.8232231140137
shuffle,449,372,41,21,15,360.2651879787445
shuffle,445,329,66,30,20,411.8440659046173
shuffle,382,290,54,18,20,397.25718331336975
shuffle,453,315,85,28,25,379.8329989910126
shuffle,493,384,50,39,20,372.4873471260071
shuffle,535,353,151,16,15,414.3599736690521
shuffle,447,368,54,10,15,348.44398188591003
shuffle,492,347,104,26,15,402.6203007698059
shuffle,479,310,131,13,25,385.3553581237793
shuffle,421,371,37,3,10,358.57349705696106
shuffle,421,327,56,18,20,384.7112193107605
shuffle,461,368,68,15,10,395.7542178630829
shuffle,435,352,51,17,15,389.24128913879395
shuffle,385,283,64,13,25,382.93302607536316
shuffle,417,327,51,19,20,364.8408863544464
shuffle,495,359,59,57,20,388.21032881736755
shuffle,493,344,97,32,20,387.7757360935211
shuffle,481,376,72,13,20,339.1378381252289
shuffle,451,366,58,7,20,346.6284363269806
shuffle,495,385,65,25,20,365.49279499053955
shuffle,376,301,55,0,20,348.49093103408813
shuffle,456,352,61,28,15,366.0080087184906
shuffle,465,387,43,20,15,360.3847587108612
shuffle,416,340,59,2,15,327.70101833343506
shuffle,497,383,81,18,15,345.08181166648865
shuffle,431,338,56,17,20,365.25749826431274
shuffle,435,355,43,17,20,348.09662079811096
shuffle,485,314,122,24,25,357.47213220596313
shuffle,494,378,87,14,15,383.69203543663025
shuffle,489,412,39,28,10,376.6014292240143
shuffle,444,310,90,19,25,343.79810905456543
shuffle,383,329,32,2,20,353.9237425327301
shuffle,417,343,34,20,20,353.0831823348999
shuffle,492,370,107,0,15,318.595760345459
shuffle,421,336,64,1,20,328.4695854187012
shuffle,424,355,48,1,20,312.2022693157196
shuffle,478,370,77,21,10,316.5212059020996
shuffle,446,344,74,13,15,284.44229221343994
shuffle,483,323,50,105,5,284.52257466316223
shuffle,469,343,94,12,20,316.81606340408325
shuffle,363,304,33,1,25,320.8288998603821
shuffle,435,344,49,17,25,289.72377729415894
shuffle,416,348,35,18,15,318.51017689704895
shuffle,455,381,40,19,15,257.0943727493286
