heuristic,total penalty,conflict penalty,gap penalty,capacity penalty,evening penalty,runtime,run_number
shuffle,639,448,144,32,15,336.3196406364441,0
shuffle,433,360,39,14,20,360.9863362312317,1
shuffle,576,420,92,49,15,361.40895414352417,2
shuffle,717,542,147,13,15,324.6801266670227,3
shuffle,406,326,39,26,15,370.2702932357788,4
shuffle,633,501,85,27,20,326.95632672309875,5
shuffle,499,338,122,14,25,350.9351918697357,6
shuffle,624,443,127,44,10,316.409875869751,7
shuffle,452,352,65,20,15,370.4564685821533,8
shuffle,561,440,83,23,15,340.9689223766327,9
shuffle,488,383,76,4,25,330.0746829509735,10
shuffle,568,375,160,13,20,371.0184552669525,11
shuffle,519,410,63,26,20,351.5619127750397,12
shuffle,470,357,78,15,20,336.44575023651123,13
shuffle,548,434,82,17,15,337.6215443611145,14
shuffle,419,342,52,5,20,339.71329712867737,15
shuffle,605,382,196,2,25,345.4753339290619,16
shuffle,497,370,80,27,20,305.5379328727722,17
shuffle,522,393,98,11,20,345.9523422718048,18
shuffle,556,381,129,21,25,337.6654794216156,19
shuffle,625,435,164,6,20,301.1764976978302,20
shuffle,528,352,140,11,25,350.4174473285675,21
shuffle,582,371,133,53,25,306.9442672729492,22
shuffle,545,422,61,47,15,342.86040210723877,23
shuffle,477,374,58,25,20,346.70094418525696,24
shuffle,464,361,52,26,25,336.67067646980286,25
shuffle,640,368,161,96,15,303.0074996948242,26
shuffle,589,420,130,24,15,307.30937814712524,27
shuffle,514,379,88,22,25,338.8669180870056,28
shuffle,463,331,100,12,20,349.44615936279297,29
shuffle,444,348,58,18,20,345.31117510795593,30
shuffle,606,428,133,20,25,313.72578620910645,31
shuffle,613,392,167,39,15,319.8312394618988,32
shuffle,552,381,143,3,25,339.84552788734436,33
shuffle,483,414,51,3,15,331.2306957244873,34
shuffle,460,368,56,16,20,355.58353185653687,35
shuffle,566,417,100,24,25,353.98009490966797,36
shuffle,449,369,54,6,20,322.602331161499,37
shuffle,524,382,111,21,10,354.5000104904175,38
shuffle,618,369,211,18,20,329.53154397010803,39
shuffle,581,426,85,50,20,363.7258942127228,40
shuffle,544,406,104,14,20,336.50383710861206,41
shuffle,574,407,100,52,15,345.176411151886,42
shuffle,685,422,188,65,10,307.08448481559753,43
shuffle,514,396,71,22,25,340.574923992157,44
shuffle,777,390,341,26,20,308.5950412750244,45
shuffle,512,358,86,48,20,346.0145378112793,46
shuffle,551,408,111,7,25,330.0601315498352,47
shuffle,489,404,48,17,20,344.8707323074341,48
shuffle,566,372,106,63,25,309.42039489746094,49
shuffle,522,392,92,13,25,293.50455236434937,50
shuffle,453,342,87,4,20,355.79386353492737,51
shuffle,522,354,111,32,25,323.50667214393616,52
shuffle,449,362,56,11,20,339.38523530960083,53
shuffle,494,354,103,12,25,320.1194267272949,54
shuffle,536,400,82,44,10,304.6762478351593,55
shuffle,482,386,37,39,20,344.2356824874878,56
shuffle,498,376,79,23,20,350.28935956954956,57
shuffle,433,346,60,7,20,323.59484577178955,58
shuffle,509,387,82,15,25,321.5853855609894,59
shuffle,562,380,132,25,25,314.0942437648773,60
shuffle,421,334,65,2,20,355.61707282066345,61
shuffle,489,327,82,55,25,339.287486076355,62
shuffle,498,346,108,24,20,321.5952854156494,63
shuffle,529,429,69,21,10,381.1523253917694,64
shuffle,611,415,157,19,20,309.61423993110657,65
shuffle,523,393,76,29,25,320.34689450263977,66
shuffle,465,365,64,16,20,340.35691595077515,67
shuffle,504,424,47,18,15,315.6260426044464,68
shuffle,620,502,64,39,15,347.003178358078,69
shuffle,534,427,59,23,25,328.10315108299255,70
shuffle,567,440,63,44,20,307.574670791626,71
shuffle,440,371,39,10,20,361.46867513656616,72
shuffle,660,460,92,83,25,317.53396677970886,73
shuffle,700,380,269,36,15,280.7222695350647,74
shuffle,444,345,58,16,25,317.61698627471924,75
shuffle,476,377,72,7,20,346.32615089416504,76
shuffle,476,375,57,24,20,333.07663440704346,77
shuffle,488,317,127,19,25,294.6061429977417,78
shuffle,520,400,63,42,15,352.9906008243561,79
shuffle,479,369,75,15,20,326.4542968273163,80
shuffle,641,426,176,14,25,333.5403549671173,81
shuffle,463,351,80,12,20,329.55290722846985,82
shuffle,502,385,71,21,25,326.3045699596405,83
shuffle,554,351,113,65,25,339.8445394039154,84
shuffle,612,412,159,21,20,347.8069267272949,85
shuffle,506,345,81,55,25,321.699068069458,86
shuffle,476,345,101,5,25,344.32523798942566,87
shuffle,572,365,151,31,25,324.00632977485657,88
shuffle,491,395,51,20,25,315.2515778541565,89
shuffle,478,368,84,11,15,334.1067144870758,90
shuffle,507,375,103,9,20,316.4635465145111,91
shuffle,525,438,47,30,10,294.623774766922,92
shuffle,488,347,99,17,25,330.1846091747284,93
shuffle,558,382,143,8,25,316.58480644226074,94
shuffle,469,366,67,16,20,323.28653049468994,95
shuffle,508,393,68,27,20,318.215176820755,96
shuffle,543,409,90,29,15,355.2167248725891,97
shuffle,624,493,74,47,10,320.6740355491638,98
shuffle,446,375,45,1,25,313.8558530807495,99
