heuristic,total penalty,conflict penalty,gap penalty,capacity penalty,evening penalty,runtime, run_number
sort by overlap (desc),472,332,110,5,25,398.0677707195282,0
sort by overlap (desc),706,398,283,5,20,371.4598844051361,1
sort by overlap (desc),547,370,152,5,20,408.4007875919342,2
sort by overlap (desc),416,324,68,4,20,369.97768473625183,3
sort by overlap (desc),515,359,103,33,20,355.632262468338,4
sort by overlap (desc),473,322,75,51,25,384.21928906440735,5
sort by overlap (desc),622,411,181,10,20,363.1711595058441,6
sort by overlap (desc),447,363,62,7,15,365.5506200790405,7
sort by overlap (desc),604,379,200,5,20,375.70939207077026,8
sort by overlap (desc),604,298,276,5,25,368.9572079181671,9
sort by overlap (desc),608,317,258,13,20,356.2735319137573,10
sort by overlap (desc),565,410,121,9,25,352.7999539375305,11
sort by overlap (desc),498,388,82,8,20,376.1080207824707,12
sort by overlap (desc),398,355,18,5,20,355.77279138565063,13
sort by overlap (desc),523,327,175,1,20,328.2030770778656,14
sort by overlap (desc),443,359,64,5,15,386.98606967926025,15
sort by overlap (desc),460,338,70,27,25,360.24356150627136,16
sort by overlap (desc),482,340,113,4,25,368.6442084312439,17
sort by overlap (desc),555,432,103,0,20,360.1533877849579,18
sort by overlap (desc),571,385,167,9,10,348.46646523475647,19
sort by overlap (desc),524,336,155,8,25,357.54338788986206,20
sort by overlap (desc),548,323,203,2,20,381.42508459091187,21
sort by overlap (desc),411,355,30,6,20,345.46212816238403,22
sort by overlap (desc),592,440,126,11,15,365.19977951049805,23
sort by overlap (desc),499,357,116,6,20,342.19468355178833,24
sort by overlap (desc),640,399,199,32,10,398.6620535850525,25
sort by overlap (desc),463,358,77,8,20,376.07490372657776,26
sort by overlap (desc),351,276,50,5,20,378.70363783836365,27
sort by overlap (desc),540,432,79,4,25,372.12855672836304,28
sort by overlap (desc),590,326,237,2,25,348.35765743255615,29
sort by overlap (desc),553,383,138,7,25,383.4270877838135,30
sort by overlap (desc),407,307,76,4,20,397.2606794834137,31
sort by overlap (desc),653,382,248,8,15,340.10127329826355,32
sort by overlap (desc),468,395,53,10,10,376.5450837612152,33
sort by overlap (desc),733,339,344,35,15,365.075314283371,34
sort by overlap (desc),607,454,130,3,20,390.86797523498535,35
sort by overlap (desc),487,425,39,8,15,348.4185872077942,36
sort by overlap (desc),487,351,109,2,25,406.56170201301575,37
sort by overlap (desc),512,391,110,1,10,394.05731558799744,38
sort by overlap (desc),590,373,192,5,20,382.83219623565674,39
sort by overlap (desc),461,326,103,7,25,391.01819944381714,40
sort by overlap (desc),561,357,158,21,25,365.37567925453186,41
sort by overlap (desc),500,384,88,3,25,383.6194643974304,42
sort by overlap (desc),611,370,218,8,15,363.9368848800659,43
sort by overlap (desc),800,328,412,40,20,309.9162652492523,44
sort by overlap (desc),463,280,147,11,25,356.139981508255,45
sort by overlap (desc),528,372,132,4,20,362.4640061855316,46
sort by overlap (desc),662,333,304,0,25,355.73874139785767,47
sort by overlap (desc),488,327,132,4,25,379.65305519104004,48
sort by overlap (desc),578,359,189,15,15,347.9456214904785,49
sort by overlap (desc),506,427,44,10,25,361.7789945602417,50
sort by overlap (desc),765,350,386,4,25,375.33273458480835,51
sort by overlap (desc),425,319,64,22,20,380.83227920532227,52
sort by overlap (desc),568,344,201,3,20,354.63686966896057,53
sort by overlap (desc),606,359,218,4,25,396.80720376968384,54
sort by overlap (desc),484,331,125,3,25,366.60646891593933,55
sort by overlap (desc),410,316,69,0,25,358.4680366516113,56
sort by overlap (desc),650,375,244,6,25,402.84002780914307,57
sort by overlap (desc),555,340,181,9,25,361.7025890350342,58
sort by overlap (desc),657,386,253,3,15,397.32321763038635,59
sort by overlap (desc),405,326,48,6,25,383.97199869155884,60
sort by overlap (desc),690,318,347,5,20,379.26623272895813,61
sort by overlap (desc),714,406,283,0,25,380.3313784599304,62
sort by overlap (desc),468,359,88,1,20,365.83072113990784,63
sort by overlap (desc),550,391,147,2,10,388.0473642349243,64
sort by overlap (desc),551,413,117,6,15,371.52593874931335,65
